id,title,company,location,state,category,contract_type,contract_time,salary_min,salary_max,created,description,redirect_url,salary_available,salary_avg,ingested_at
5797434640,Senior Data Engineer,ABB,"Bangalore, Karnataka",Karnataka,IT Jobs,,full_time,,,2026-07-12 06:10:25+00:00,"This job is with ABB, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At ABB, we help industries run leaner and cleaner—and every person here makes that happen. You’ll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and help run what runs the world. This Position reports to: ELSE Global Sustainability Business Proc Your role and responsibilitie…",https://www.adzuna.in/details/5797434640?utm_medium=api&utm_source=4a2f7c39,False,,2026-07-15
5790410259,IT&D Data Engineering Senior Manager,Reckitt,"Hyderabad, Telangana",Telangana,IT Jobs,,full_time,,,2026-07-07 05:28:21+00:00,"This job is with Reckitt, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. We are Reckitt Home to the world's best loved and trusted hygiene, health, and nutrition brands. Our purpose defines why we exist: to protect, heal and nurture in the relentless pursuit of a cleaner, healthier world. We are a global team united by this purpose. Join us in our fight to make access to the highest qual…",https://www.adzuna.in/details/5790410259?utm_medium=api&utm_source=4a2f7c39,False,,2026-07-15
5513049976,Data Engineer-Data engineer-Engineering,EXL,"Noida, Ghaziabad",Uttar Pradesh,IT Jobs,,full_time,,,2025-11-25 23:00:33+00:00,"Description Data Engineers design and build data systems and pipelines. Responsibilities include developing data processing workflows, optimizing data storage, and ensuring data accuracy. You will collaborate with data scientists and analysts to meet data requirements and resolve data issues. Strong experience in data engineering and problem-solving skills are required. Responsibilities Design and implement data pipelines, Optimize data processing and storage, Ensure data solutions meet perform…",https://www.adzuna.in/details/5513049976?utm_medium=api&utm_source=4a2f7c39,False,,2026-07-15
5786180977,Data Engineer,Evnek Technologies Pvt Ltd,"Immedihalli, Bangalore",Karnataka,IT Jobs,contract,,,,2026-07-03 06:18:29+00:00,"Job Title: Junior Data Engineer Experience: 2–4 Years Location: Remote / Hybrid Notice Period: Immediate Joiner Job Summary We are looking for a motivated Junior Data Engineer with 2–4 years of experience to join our growing data engineering team. The ideal candidate should have hands-on experience in building and maintaining data pipelines, working with cloud-based data platforms, and developing scalable ETL/ELT solutions. You will collaborate with senior data engineers, data analysts, and bus…",https://www.adzuna.in/details/5786180977?utm_medium=api&utm_source=4a2f7c39,False,,2026-07-15
5798989468,Data Engineer,Sparix Global.,India,,IT Jobs,,,2400000.0,3000000.0,2026-07-13 23:25:26+00:00,Data Engineer (Subcontractor) Immediate Joiners Required Position Details Position Name Experience Location Joining Duration Budget Data Engineer 8 11 Years Remote Absolute Immediate 6 Months 2 - 2.5.0 LPM Job Description We are looking for an experienced Data Engineer with expertise in building and maintaining scalable data pipelines on AWS. The ideal candidate should have hands-on experience with modern data engineering tools and cloud-native architectures. Primary Skills AWS AWS Glue AWS Lam…,https://www.adzuna.in/details/5798989468?utm_medium=api&utm_source=4a2f7c39,True,2700000.0,2026-07-15
5795880157,Data Engineering,Trigent Software Private Limited,"Egmore Nungambakkam, Chennai",Tamil Nadu,IT Jobs,,,1500000.0,2100000.0,2026-07-10 23:26:22+00:00,"As a Data Engineer, a typical day involves designing, developing, and maintaining comprehensive data solutions that support the generation, collection, and processing of data. This role requires creating efficient data pipelines and ensuring the integrity and quality of data throughout its lifecycle. The position also involves implementing extract, transform, and load processes to facilitate seamless migration and deployment of data across various systems, enabling smooth data flow and accessib…",https://www.adzuna.in/details/5795880157?utm_medium=api&utm_source=4a2f7c39,True,1800000.0,2026-07-15
5800097451,Data Engineer,Weekday AI,India,,IT Jobs,,full_time,,,2026-07-14 22:15:32+00:00,"This role is for one of the Weekday's clients Salary range: Rs 1300000 - Rs 2600000 (ie INR 13-26 LPA) Experience: 5 yrs Location: Pune, Maharashtra, India Job Type: Full-Time We are seeking an experienced Azure Databricks Engineer to design, develop, and optimize scalable cloud-based data engineering solutions. This role is ideal for professionals with strong expertise in Azure Databricks, SQL, and ETL development , who are passionate about building high-performance data pipelines and enabling…",https://www.adzuna.in/details/5800097451?utm_medium=api&utm_source=4a2f7c39,False,,2026-07-15
5785057845,Data Engineer,Experian,"Hyderabad, Telangana",Telangana,IT Jobs,,,,,2026-07-02 12:15:11+00:00,"Job Description We are looking for a Data Engineer to enhance Tenderlink, a platform that connects buyers and suppliers by streamlining tendering, procurement, and contract management processes. Reporting to the Manager, Commercial Data Quality & Innovation, this is a hands-on technical role responsible for independently designing, building, optimising, and enhancing data pipelines that power Tenderlink data assets. You will focus on ensuring high-quality, reliable, and scalable data ingestion,…",https://www.adzuna.in/details/5785057845?utm_medium=api&utm_source=4a2f7c39,False,,2026-07-15
5795880219,Data Engineer,Sparix Global.,India,,IT Jobs,,,130000.0,135000.0,2026-07-10 23:26:29+00:00,"Data Engineer 6 Hybrid(Bangalore) 12 months C2H Key Responsibilities Design and develop data pipelines (batch and streaming) using Databricks and PySpark. Write optimized PySpark code to process large datasets. Build and manage CI/CD pipelines for data workflows using GitHub / GitHub Actions / Azure DevOps. Implement data validation and data quality checks. Monitor pipelines using logging, alerting, and observability tools. Collaborate with cross-functional teams and document data pipeline arch…",https://www.adzuna.in/details/5795880219?utm_medium=api&utm_source=4a2f7c39,True,132500.0,2026-07-15
