id,title,company,location,state,category,contract_type,contract_time,salary_min,salary_max,created,description,redirect_url,salary_available,salary_avg,ingested_at
5785771090,Data Engineer,Capco,India,,IT Jobs,,full_time,,,2026-07-03 00:54:13+00:00,"This job is with Capco, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About Us “Capco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the British Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar & Seramount. With our presence across 32 cities across globe, we support 100 clients across…",https://www.adzuna.in/land/ad/5785771090?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=2AE78A413FA6CAC0B8379B98BD0B5CBF96DC50FE,False,,2026-07-09
5790410207,Data Engineer,Kyndryl,"Bangalore, Karnataka",Karnataka,IT Jobs,,full_time,,,2026-07-07 05:28:19+00:00,"This job is with Kyndryl, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Who We Are At Kyndryl, we run and reimagine the mission-critical technology systems that drive advantage for the world's leading businesses. We are at the heart of progress; with proven expertise and a continuous flow of AI-powered insight, enabling smarter decisions, faster innovation, and a lasting competitive edg…",https://www.adzuna.in/land/ad/5790410207?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=FC0907846102E849193BD5CCF8511E949D420DC6,False,,2026-07-09
5785772822,Data Engineer - Scala,Capco,"Bangalore, Karnataka",Karnataka,IT Jobs,,full_time,,,2026-07-03 00:54:30+00:00,"This job is with Capco, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Title: Senior Data Engineer - Scala Job Description: The Senior Data Engineer will be responsible for designing, developing, and maintaining scalable data pipelines and building out new API integrations to support continuing increases in data volume and complexity. They will collaborate with analytics and business…",https://www.adzuna.in/land/ad/5785772822?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=2E46283AF1DED7C003304972B5046CC54DC01701,False,,2026-07-09
5785772267,GCP Data Engineer,Capco,"Pune, Maharashtra",Maharashtra,IT Jobs,,full_time,,,2026-07-03 00:54:24+00:00,"This job is with Capco, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About Us “Capco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the British Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar & Seramount. With our presence across 32 cities across globe, we support 100 clients across…",https://www.adzuna.in/land/ad/5785772267?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=DD4D6AE5735D8D0EE10198C4770AC022908768C5,False,,2026-07-09
5785770903,GCP Data Engineer,Capco,"Chennai, Tamil Nadu",Tamil Nadu,IT Jobs,,full_time,,,2026-07-03 00:54:12+00:00,"This job is with Capco, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About Us “Capco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the British Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar & Seramount. With our presence across 32 cities across globe, we support 100 clients across…",https://www.adzuna.in/land/ad/5785770903?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=8E09099D99B90135C5670D455F3E380D16EBC43D,False,,2026-07-09
5792883609,Staff Data Engineer,Warner Bros. Discovery,"Hyderabad, Telangana",Telangana,IT Jobs,,full_time,,,2026-07-08 22:17:58+00:00,"This job is with Warner Bros. Discovery, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Welcome to Warner Bros. Discovery… the stuff dreams are made of. Who We Are… When we say, “the stuff dreams are made of,” we’re not just referring to the world of wizards, dragons and superheroes, or even to the wonders of Planet Earth. Behind WBD’s vast portfolio of iconic content and beloved brands,…",https://www.adzuna.in/land/ad/5792883609?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=2E4A56683EB8776ED255D4E457C42D4BA792D557,False,,2026-07-09
5792095554,"Sr, Data Engineer",eBay,"Bangalore, Karnataka",Karnataka,IT Jobs,,full_time,,,2026-07-08 11:28:30+00:00,"This job is with eBay, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At eBay, we're more than a global ecommerce leader - we're changing the way the world shops and sells. Our platform empowers millions of buyers and sellers in more than 190 markets around the world. We're committed to pushing boundaries and leaving our mark as we reinvent the future of ecommerce for enthusiasts. Our cu…",https://www.adzuna.in/land/ad/5792095554?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=CC07E0407D6E68C9A22D4C8B092964EA7E49DABD,False,,2026-07-09
5785772039,Graph Data Engineer,S&P Global,India,,IT Jobs,,full_time,,,2026-07-03 00:54:22+00:00,"This job is with S&P Global, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About the Role: Grade Level (for internal use): 10 The Role: Graph Data Engineer The Team: We are a central data and reporting function that gathers all organizational data spanning from financial to inventory. This unique position allows our team to innovate and build data products and solutions for internal sta…",https://www.adzuna.in/land/ad/5785772039?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=589A86901C88E6F21BD6F17B9062AEF08B54E0D1,False,,2026-07-09
5785772386,Senior Data Engineer,Moody's,"Bangalore, Karnataka",Karnataka,IT Jobs,,full_time,,,2026-07-03 00:54:25+00:00,"This job is with Moody's, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At Moody's, we unite the brightest minds to turn today’s risks into tomorrow’s opportunities. We do this by striving to create an inclusive environment where everyone feels welcome to be who they are—with the freedom to exchange ideas, think innovatively, and listen to each other and customers in meaningful ways. Mo…",https://www.adzuna.in/land/ad/5785772386?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=6FB4572534CB5DA1251B3EED6079C07D8F51D424,False,,2026-07-09
5785770981,Lead Data Engineer,Danaher,"Kolkata, West Bengal",West Bengal,IT Jobs,,full_time,,,2026-07-03 00:54:12+00:00,"This job is with Danaher, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Bring more to life. Are you ready to accelerate your potential and make a real difference within life sciences, diagnostics, and biotechnology? At SCIEX, one of Danaher’s 15 operating companies, our work saves lives—and we’re all united by a shared commitment to innovate for tangible impact. You’ll thrive in a cultu…",https://www.adzuna.in/land/ad/5785770981?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=2F4EE95540C298E2F08B715F2A2DF01492C566AB,False,,2026-07-09
5785772897,"Spclst , Data Engineering",MSD,"Hyderabad, Telangana",Telangana,IT Jobs,,full_time,,,2026-07-03 00:54:30+00:00,"This job is with MSD, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Description The Opportunity: Based in Hyderabad, join a global healthcare biopharma company and be part of a 130-year legacy of success backed by ethical integrity, forward momentum, and an inspiring mission to achieve new milestones in global healthcare. Be part of an organisation driven by digital technology and d…",https://www.adzuna.in/land/ad/5785772897?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=F8CD7D199B98D7C939D6C8A512B2574FBFE9C236,False,,2026-07-09
5790410734,Sr Data Engineer,Kyndryl,"Bangalore, Karnataka",Karnataka,IT Jobs,,full_time,,,2026-07-07 05:28:51+00:00,"This job is with Kyndryl, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Who We Are At Kyndryl, we run and reimagine the mission-critical technology systems that drive advantage for the world's leading businesses. We are at the heart of progress; with proven expertise and a continuous flow of AI-powered insight, enabling smarter decisions, faster innovation, and a lasting competitive edg…",https://www.adzuna.in/land/ad/5790410734?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=6B00EAEBD78702CEA29146658C27C37A013BE60E,False,,2026-07-09
5792883794,Senior Data Engineer,Warner Bros. Discovery,"Bangalore, Karnataka",Karnataka,IT Jobs,,full_time,,,2026-07-08 22:18:18+00:00,"This job is with Warner Bros. Discovery, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Welcome to Warner Bros. Discovery… the stuff dreams are made of. Who We Are… When we say, “the stuff dreams are made of,” we’re not just referring to the world of wizards, dragons and superheroes, or even to the wonders of Planet Earth. Behind WBD’s vast portfolio of iconic content and beloved brands,…",https://www.adzuna.in/land/ad/5792883794?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=C7300FBD0977BF3B82CB21A1EF496821972EF6BC,False,,2026-07-09
5792883599,Senior Data Engineering,Capco,"Bangalore, Karnataka",Karnataka,IT Jobs,,full_time,,,2026-07-08 22:17:58+00:00,"This job is with Capco, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Title: Automation Tester Location-Bangalore Exp-3 years About Us “Capco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the British Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar & Seramount . With our presence…",https://www.adzuna.in/land/ad/5792883599?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=6A2EB1914A58944C2C07B0C3F87F3056431B0F01,False,,2026-07-09
5785771598,"Lead, Data Engineering",Standard Chartered Bank,"Chennai, Tamil Nadu",Tamil Nadu,IT Jobs,,full_time,,,2026-07-03 00:54:17+00:00,"This job is with Standard Chartered Bank, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Summary This is a Senior Data Engineer role with the following main responsibilities: • Understand the overall domain architecture and manage changes within them • Understand the applications within the domain and become knowledgeable on them • Have proficiency in ETL job process related to EDM p…",https://www.adzuna.in/land/ad/5785771598?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=EE70E66B52D64C7231F77D1FEC32D18C3B4D559C,False,,2026-07-09
5785772645,Senior Data Engineer,Cornerstone OnDemand,"Hyderabad, Telangana",Telangana,IT Jobs,,full_time,,,2026-07-03 00:54:28+00:00,"This job is with Cornerstone OnDemand, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. We are seeking a talented Senior Data Engineer in India. The right candidate has strong communication skills, passion for solving business problems with data and has domain knowledge in Finance, Human Resources, and Customer Success. You have empathy, curiosity and desire to improve and constantly learn…",https://www.adzuna.in/land/ad/5785772645?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=EA9EE3536568CF2B14833B3ADF7FA157E3FDF3B8,False,,2026-07-09
5785772257,Senior Data Engineer,Danaher,"Kolkata, West Bengal",West Bengal,IT Jobs,,full_time,,,2026-07-03 00:54:23+00:00,"This job is with Danaher, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Bring more to life. Are you ready to accelerate your potential and make a real difference within life sciences, diagnostics, and biotechnology? At SCIEX, one of Danaher’s 15 operating companies, our work saves lives—and we’re all united by a shared commitment to innovate for tangible impact. You’ll thrive in a cultu…",https://www.adzuna.in/land/ad/5785772257?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=289DFE0BCDDA3D8364C535B9F57DC1672B345F2D,False,,2026-07-09
5790410161,Test Data Engineer,Kyndryl,"Bangalore, Karnataka",Karnataka,IT Jobs,,full_time,,,2026-07-07 05:28:18+00:00,"This job is with Kyndryl, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Who We Are At Kyndryl, we run and reimagine the mission-critical technology systems that drive advantage for the world's leading businesses. We are at the heart of progress; with proven expertise and a continuous flow of AI-powered insight, enabling smarter decisions, faster innovation, and a lasting competitive edg…",https://www.adzuna.in/land/ad/5790410161?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=F54630F474DFFE5C2AB63A96018C4B4120F28B3D,False,,2026-07-09
5785770856,Senior Data Engineer I,Elsevier,"Bangalore, Karnataka",Karnataka,IT Jobs,,full_time,,,2026-07-03 00:54:11+00:00,"This job is with Elsevier, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Senior Data Engineer-I Would you like to be part of a team that delivers high-quality software to our customers? Are you a highly visible champion with a 'can do' attitude and enthusiasm that inspires others? About Our Team: Data Engineering - RDP-Consumption domain business delivery. About the Role: We are looking…",https://www.adzuna.in/land/ad/5785770856?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=4E4299AC8E493993F2E090480627D9AD082C0343,False,,2026-07-09
5785771207,Supply Chain - Data Engineer,HP,"Bangalore, Karnataka",Karnataka,IT Jobs,,full_time,,,2026-07-03 00:54:14+00:00,"This job is with HP, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Supply Chain - Data Engineer Description - Job Summary • This role is responsible for data collection procedures, including accurate and relevant data for machine learning models, extracting and analyzing data from the primary and secondary database. The role ensures data integrity and compliance by performing data clean…",https://www.adzuna.in/land/ad/5785771207?se=moo06mF78RGY7JK76yOanA&utm_medium=api&utm_source=4a2f7c39&v=F01FF6025EBD30AB3362EE5935953585215DAF9D,False,,2026-07-09
