id,title,company,location,state,category,contract_type,contract_time,salary_min,salary_max,created,description,redirect_url,salary_available,salary_avg,ingested_at
5812528361,Data Engineer,Accenture,"Bangalore, Karnataka",Karnataka,IT Jobs,,full_time,,,2026-07-23 22:17:08+00:00,"This job is with Accenture, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Project Role : Data Engineer Project Role Description : Design, develop and maintain data solutions for data generation, collection, and processing. Create data pipelines, ensure data quality, and implement ETL (extract, transform and load) processes to migrate and deploy data across systems. Must have skills : In…",https://www.adzuna.in/land/ad/5812528361?se=zLUg-gOP8RGNzO_fQd9OLg&utm_medium=api&utm_source=4a2f7c39&v=C36AB5760EACCF149965EEC412131D1C16D2DB04,False,,2026-08-03
5812528340,Data Engineer,Accenture,"Bangalore, Karnataka",Karnataka,IT Jobs,,full_time,,,2026-07-23 22:17:08+00:00,"This job is with Accenture, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Project Role : Data Engineer Project Role Description : Design, develop and maintain data solutions for data generation, collection, and processing. Create data pipelines, ensure data quality, and implement ETL (extract, transform and load) processes to migrate and deploy data across systems. Must have skills : Ja…",https://www.adzuna.in/land/ad/5812528340?se=zLUg-gOP8RGNzO_fQd9OLg&utm_medium=api&utm_source=4a2f7c39&v=E00EA247DC36DF7ACBF0428A8454F772F568864E,False,,2026-08-03
5820906299,Data Engineer II,Kraft Heinz,India,,IT Jobs,,full_time,,,2026-07-30 13:53:22+00:00,"This job is with Kraft Heinz, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Description GBS Analytics COE - Data Engineer II (B15) Job Description About the position We have an excellent opportunity available for a Data Engineer II to make a difference at Kraft Heinz. The Data Engineer II role lies within the Analytics Centre of Excellence within the Global Business Services organis…",https://www.adzuna.in/land/ad/5820906299?se=zLUg-gOP8RGNzO_fQd9OLg&utm_medium=api&utm_source=4a2f7c39&v=2BD2AD4CCD3F9E82741DD73FC42343B742F9679D,False,,2026-08-03
5797434640,Senior Data Engineer,ABB,"Bangalore, Karnataka",Karnataka,IT Jobs,,full_time,,,2026-07-12 06:10:25+00:00,"This job is with ABB, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At ABB, we help industries run leaner and cleaner—and every person here makes that happen. You’ll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and help run what runs the world. This Position reports to: ELSE Global Sustainability Business Proc Your role and responsibilitie…",https://www.adzuna.in/land/ad/5797434640?se=zLUg-gOP8RGNzO_fQd9OLg&utm_medium=api&utm_source=4a2f7c39&v=C2029BE80B83978566C1AE9A98338C0C20563630,False,,2026-08-03
5822403372,"Lead, Data Engineering",S&P Global,"Hyderabad, Telangana",Telangana,IT Jobs,,full_time,,,2026-07-31 19:50:47+00:00,"This job is with S&P Global, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About the Role: Grade Level (for internal use): 11 We are seeking a hands-on Senior Data Engineer / Data Platform Lead to support our offshore team in India. This role focuses on executing data pipeline onboarding, migration, and support activities within our enterprise data platform. You will work closely with t…",https://www.adzuna.in/land/ad/5822403372?se=zLUg-gOP8RGNzO_fQd9OLg&utm_medium=api&utm_source=4a2f7c39&v=7A494CF4F0B3DE38F8EC940666E5DAFC2FFE8A9A,False,,2026-08-03
5796971941,Data Engineer III,RX Global,"Chennai, Tamil Nadu",Tamil Nadu,IT Jobs,permanent,full_time,,,2026-07-11 19:34:23+00:00,"This job is with RX Global, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About Team: RX Global aims to create unforgettable experiences for attendees and exhibitors through organizing events. Innovation, creativity, and collaboration drive the company to offer exceptional services to clients. About the role: This role focuses on building and maintaining scalable data pipelines and plat…",https://www.adzuna.in/land/ad/5796971941?se=zLUg-gOP8RGNzO_fQd9OLg&utm_medium=api&utm_source=4a2f7c39&v=D8B66CD7DC0C51425172E44FE823D91782C67490,False,,2026-08-03
5822403453,AI Data Engineer,S&P Global,"Hyderabad, Telangana",Telangana,IT Jobs,,full_time,,,2026-07-31 19:50:49+00:00,"This job is with S&P Global, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About the Role: Grade Level (for internal use): 11 The Team: As part of the Collection Platforms & AI team you will work on building AI powered products and capabilities to power natural language understanding, data extraction, information retrieval and data sourcing solutions for S&P Global and our clients. You …",https://www.adzuna.in/land/ad/5822403453?se=zLUg-gOP8RGNzO_fQd9OLg&utm_medium=api&utm_source=4a2f7c39&v=D663873155B66B7DACDC1978866A0CD5238A9FA5,False,,2026-08-03
5806276961,Data Engineering Manager,Novartis,India,,IT Jobs,,full_time,,,2026-07-18 22:18:09+00:00,"This job is with Novartis, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Summary We are seeking an experienced Business Analyst with 8 years of experience in Master Data Management (MDM), Data Governance, and Business Process Analysis to support strategic Customer MDM, Product MDM, and Brand MDM. The candidate will partner with business stakeholders, data stewards, architects, and imple…",https://www.adzuna.in/land/ad/5806276961?se=zLUg-gOP8RGNzO_fQd9OLg&utm_medium=api&utm_source=4a2f7c39&v=D101C5A0B26F1E7041677CF0D9CCF7248CEEA935,False,,2026-08-03
5822403362,"Manager, IT - Data Engineering",Kraft Heinz,"Bangalore, Karnataka",Karnataka,IT Jobs,,full_time,,,2026-07-31 19:50:47+00:00,"This job is with Kraft Heinz, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Description MANAGER, DATA ENGINEERING(b13) Job Description Role overview As a Manager - Data Engineering, you will lead a cross-functional delivery team in building and maintaining the framework and platform capabilities that drive our data pipelines and analytics solutions. You will take design ownership of…",https://www.adzuna.in/land/ad/5822403362?se=zLUg-gOP8RGNzO_fQd9OLg&utm_medium=api&utm_source=4a2f7c39&v=25353A0612E96F750642694811844BA1E9BF3623,False,,2026-08-03
5795883321,VP - Data Engineering & AI,MSCI,"Pune, Maharashtra",Maharashtra,IT Jobs,,full_time,,,2026-07-10 23:42:39+00:00,"This job is with MSCI, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Your Team Responsibilities: Our team is responsible for building and maintaining the Data platform, a business-critical component that powers MSCI's S&C offerings . We manage the end-to-end lifecycle of ESG data-from ingestion, transformation, and scoring, to final delivery to internal consumers and external clients. K…",https://www.adzuna.in/land/ad/5795883321?se=zLUg-gOP8RGNzO_fQd9OLg&utm_medium=api&utm_source=4a2f7c39&v=7CF614C2DF2F59FE2D6793ABD62FD6BB877DE375,False,,2026-08-03
